Year,Projected size of the global autonomous car market (USD billion),Estimated worldwide motor vehicle production (millions) ,CB insights- Amount of global funding deals dollars to auto tech startups (in million USD),CB insights - Number of global deals to auto tech startups,CB insights-Funding to autonomous vehicle tech startups (million USD),CB insights-Number of deals to autonomous tech startups,US electric vehcles sales 2011-2019 ,Projected sales of autonomous vehicles worldwide from 2019 to 2030 (million),Unit sales of social and entertainment robots worldwide from 2015 to 2025 (in millions),Unit cost of industrial robtot over time (USD),VC activities in autonomous cars (number of deals) (visual estiamate),Collaborative robtot sales forecast (unit per year) (Visual estimation),Global market for industrial and non-industrial robots,Estimated share of newly registered car with (Lv.0) no autonomous driving  (visaul estimation on chart) (percentage),Estimate share of newly registered car with (Lv.2) assisted autonomous driving (percentage) (visual estimation),"Estimated annual worldwide supply of industrial robots 2009-2017, forcast 2018-2021 ( in 1000 units)",Estimate operational stock of industrial robots at a year-end in Republic of Korea in 1000 units,Estimate number of Internet of things(IoT) connected devices worldwide  (billion),Number of papers on social robtot navigation over years (visual estimate),Annual increase in number of vehicles equipped with hardware for fully autonomous driving,Global annual installations of industrial robots (1000units),Industrial robtot items pick and place per hour improvement (unit) (visual estimate),Annual volumn of data generated from connected autonomous vehicle ( in PBs),Fully autonomous car shipment forcast in the US (1000 units),Fully autonomous car shipment forecast in the world (1000 units),Estimated global installed based of cars with self-driving features (All levels) (millions car on the road) (visual estimate),Percentage of driver afraid to drive in fully autonomous vehicle,Number of accident reported in autonomous vehicle over years,LIDAR sensor technology prices over years (USD logarithmic scale),Asia pacific automotive sensor volumn forecast (annual growth rate),worldwide annual supply of industrial robots (1000 units) 2016-2019 forcast,Global self driving minutes forecast (billions),Number of patent application of autonomous vehicles over years
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,0.7532467532467533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,0.7272727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,0.7662337662337663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,0.7922077922077922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,0.8441558441558441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,0.8701298701298701,,,,,,,,0.4628089543978211,,,,,,,,,,,,,,,,,,,,,0.7228915662650602,,
2006,,0.8961038961038961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6686746987951807,,
2007,,0.948051948051948,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034374999999999996,,0.6867469879518072,,0.58046875
2008,,0.922077922077922,,,,,,,,,,,,,,,0.4935897435897436,,,,,,,,,,,,,,0.6807228915662651,,0.53984375
2009,,0.8051948051948052,,,,,,,,,,,,,,0.23622047244094488,0.5064102564102564,,,,,,,,,,,,,,0.3614457831325301,,0.5390625
2010,,1.0,,,,,,,,0.688537378114843,,,,,,0.4763779527559055,0.6474358974358975,,,,0.4763779527559055,,,,,,,,,,0.7289156626506024,,0.58046875
2011,,1.0389610389610389,,,,,0.14231692775118834,,,,,,,,,0.6535433070866141,0.7948717948717948,,0.5883495145631068,,0.6535433070866141,,,,,,,,,,1.0,,0.7875
2012,,1.0909090909090908,,,,,0.429662359724922,,,,,,,,,0.6259842519685039,0.8910256410256411,,1.1763459841129744,,0.6259842519685039,,,,,,,,,,0.9578313253012049,,0.95546875
2013,,1.12987012987013,,,,,0.7963785752789166,,,,0.35555555555555557,,,1.6666666666666667,0.4,0.7007874015748031,1.0,,1.11738746690203,,0.7007874015748031,,,,,,,,,,1.072289156626506,,1.04453125
